                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69711,                 2.9511,                 1.2413,                0.00474,                0.98246,                0.65874,                0.55151,                0.40514,                 2.8454,                0.96906,             0.00018577,             0.00018577,             0.00018577
                      2,                0.63782,                 1.7335,                  1.166,                      1,                0.08901,                0.69881,                0.56736,                  0.513,                 2.5379,                 1.0714,             0.00037819,             0.00037819,             0.00037819
                      3,                0.58256,                 1.3249,                  1.146,                0.83663,                0.75692,                0.91013,                0.63557,                0.70727,                 1.9497,                 1.5138,             0.00056269,             0.00056269,             0.00056269
                      4,                0.62316,                  1.217,                 1.1396,                0.61038,                0.64392,                0.80121,                0.50579,                0.89302,                 2.0041,                 1.5459,             0.00073926,             0.00073926,             0.00073926
                      5,                0.65403,                 1.1543,                 1.1126,                0.86369,                0.77912,                0.85971,                0.70732,                0.94373,                 1.4693,                 1.5196,             0.00090792,             0.00090792,             0.00090792
                      6,                0.63403,                 1.1311,                 1.1284,                0.93451,                 0.8837,                0.94301,                0.54829,                 1.1858,                 1.5868,                  1.762,              0.0010686,              0.0010686,              0.0010686
                      7,                0.67646,                 1.1587,                 1.1525,                0.87222,                0.88745,                0.91732,                0.73571,                0.74504,                 1.4704,                  1.186,              0.0012215,              0.0012215,              0.0012215
                      8,                0.65028,                  1.083,                  1.147,                0.66529,                0.76101,                0.85281,                0.60271,                0.89794,                  1.732,                 1.3341,              0.0012309,              0.0012309,              0.0012309
                      9,                0.62842,                0.99828,                 1.1161,                0.86158,                0.84396,                0.93751,                0.78072,                0.67209,                  1.275,                 1.2005,              0.0012309,              0.0012309,              0.0012309
                     10,                0.60692,                0.95016,                 1.0969,                0.90577,                0.84269,                0.86294,                0.72628,                0.69976,                 1.2453,                  1.135,              0.0012026,              0.0012026,              0.0012026
                     11,                0.60489,                0.87998,                 1.0965,                0.93286,                0.94248,                0.94775,                0.78944,                 0.6472,                 1.2397,                 1.0754,              0.0011744,              0.0011744,              0.0011744
                     12,                0.61767,                0.92863,                 1.1195,                0.86981,                0.92738,                0.95308,                0.79058,                0.63155,                 1.0395,                 1.1918,              0.0011461,              0.0011461,              0.0011461
                     13,                0.56925,                0.81693,                  1.076,                 0.9661,                0.94987,                0.96605,                0.83616,                 0.5906,                0.90596,                 1.1171,              0.0011178,              0.0011178,              0.0011178
                     14,                 0.5928,                0.82526,                  1.109,                0.97251,                0.94987,                0.96781,                0.81131,                0.67984,                0.87796,                 1.2073,              0.0010895,              0.0010895,              0.0010895
                     15,                0.56798,                0.77719,                 1.0655,                0.96029,                0.96773,                0.96723,                0.82614,                0.67327,                0.86346,                 1.1955,              0.0010612,              0.0010612,              0.0010612
                     16,                0.63112,                0.76631,                 1.1199,                0.97665,                0.95257,                0.96924,                0.87013,                0.51356,                 0.8323,                 1.0439,              0.0010329,              0.0010329,              0.0010329
                     17,                0.58514,                0.77534,                 1.1009,                0.97442,                0.96767,                 0.9777,                0.84943,                0.56615,                0.83994,                 1.1041,              0.0010046,              0.0010046,              0.0010046
                     18,                0.55173,                0.75176,                  1.067,                0.96299,                0.97721,                0.97779,                0.88558,                0.47479,                 0.7948,                 1.0637,             0.00097629,             0.00097629,             0.00097629
                     19,                0.54935,                0.70216,                 1.0597,                0.93766,                0.96742,                0.96443,                0.83085,                0.57323,                0.75888,                 1.1386,               0.000948,               0.000948,               0.000948
                     20,                 0.5316,                  0.668,                 1.0626,                0.97342,                0.96881,                0.98576,                0.91164,                  0.399,                0.59901,                0.96682,              0.0009197,              0.0009197,              0.0009197
                     21,                0.54397,                0.64609,                 1.0675,                0.96987,                0.97055,                0.98349,                0.90438,                0.46516,                0.61842,                 1.0123,             0.00089141,             0.00089141,             0.00089141
                     22,                 0.5105,                0.65862,                 1.0334,                0.97196,                0.95968,                0.97596,                0.89952,                 0.4138,                0.59838,                0.94091,             0.00086312,             0.00086312,             0.00086312
                     23,                0.50502,                0.61776,                 1.0293,                0.96996,                0.97932,                0.97762,                0.88626,                0.45769,                0.59174,                0.97483,             0.00083482,             0.00083482,             0.00083482
                     24,                0.47904,                0.61014,                 1.0255,                0.96494,                0.97932,                 0.9754,                0.88445,                0.47418,                0.59812,                0.98101,             0.00080653,             0.00080653,             0.00080653
                     25,                0.48755,                0.60377,                 1.0275,                0.90379,                0.94947,                0.96174,                0.88364,                0.44796,                0.57856,                0.95838,             0.00077823,             0.00077823,             0.00077823
                     26,                0.46994,                0.59956,                 1.0154,                0.90665,                0.95891,                0.96519,                0.87181,                0.45283,                0.56599,                0.96172,             0.00074994,             0.00074994,             0.00074994
                     27,                 0.4593,                   0.58,                 1.0096,                0.94787,                0.96525,                0.98151,                0.89964,                0.38775,                0.52408,                0.92417,             0.00072164,             0.00072164,             0.00072164
                     28,                 0.4607,                0.57806,                 1.0303,                0.98176,                0.98335,                0.98439,                0.91286,                0.43072,                0.50281,                0.93046,             0.00069335,             0.00069335,             0.00069335
                     29,                0.45208,                0.54571,                0.99751,                0.98207,                0.97762,                0.98769,                0.92827,                0.36276,                0.44208,                0.90245,             0.00066506,             0.00066506,             0.00066506
                     30,                0.44198,                0.52036,                 1.0162,                0.97926,                0.97343,                0.98705,                0.93654,                    0.4,                0.46647,                0.92379,             0.00063676,             0.00063676,             0.00063676
                     31,                 0.4248,                0.54958,                 1.0029,                0.97937,                0.98246,                 0.9877,                0.94137,                0.36484,                0.49322,                0.89106,             0.00060847,             0.00060847,             0.00060847
                     32,                0.42693,                0.51378,                 0.9847,                0.99219,                0.95705,                 0.9857,                0.92956,                0.36169,                0.47713,                0.88147,             0.00058017,             0.00058017,             0.00058017
                     33,                0.41028,                0.51101,                0.98163,                0.94747,                0.97932,                0.98429,                0.90431,                0.41206,                0.49296,                0.91248,             0.00055188,             0.00055188,             0.00055188
                     34,                0.42446,                0.50499,                0.98345,                0.95355,                0.97932,                0.97214,                0.89288,                0.40511,                0.50688,                0.91611,             0.00052359,             0.00052359,             0.00052359
                     35,                0.39905,                0.48991,                 0.9804,                0.95338,                0.97932,                0.98302,                 0.9079,                0.40643,                0.47257,                0.92851,             0.00049529,             0.00049529,             0.00049529
                     36,                0.40681,                0.50363,                0.99142,                0.97818,                0.97932,                0.98641,                0.93154,                 0.3843,                0.42087,                0.91587,               0.000467,               0.000467,               0.000467
                     37,                0.38714,                0.48863,                0.98029,                0.98407,                0.96623,                0.98819,                 0.9475,                0.33478,                0.41271,                0.89424,              0.0004387,              0.0004387,              0.0004387
                     38,                0.36396,                0.45471,                0.99383,                0.97139,                0.98941,                0.98949,                0.93935,                0.31374,                0.37968,                0.88803,             0.00041041,             0.00041041,             0.00041041
                     39,                0.36967,                0.47263,                0.94626,                0.97231,                0.98965,                0.98741,                0.93704,                0.33044,                0.37155,                0.88442,             0.00038211,             0.00038211,             0.00038211
                     40,                0.36288,                0.48612,                0.97022,                0.97604,                0.99083,                0.98725,                0.94031,                0.32358,                0.36878,                0.87072,             0.00035382,             0.00035382,             0.00035382
                     41,                0.31109,                0.53008,                0.95875,                0.98348,                0.98918,                0.98598,                0.93927,                0.33341,                0.39215,                0.87897,             0.00032553,             0.00032553,             0.00032553
                     42,                0.28391,                0.49994,                0.95546,                0.97944,                0.98882,                 0.9831,                0.94325,                 0.3296,                 0.3972,                0.90156,             0.00029723,             0.00029723,             0.00029723
                     43,                0.31664,                0.48321,                0.94438,                 0.9811,                0.98968,                 0.9866,                0.95161,                 0.3264,                0.36525,                0.87517,             0.00026894,             0.00026894,             0.00026894
                     44,                0.30249,                0.44762,                0.95154,                0.97176,                0.99123,                0.98801,                0.95483,                0.30972,                0.35588,                0.84795,             0.00024064,             0.00024064,             0.00024064
                     45,                0.29572,                0.45547,                0.92299,                0.97132,                0.98458,                0.98869,                0.95828,                0.29405,                0.36566,                0.84193,             0.00021235,             0.00021235,             0.00021235
                     46,                0.26367,                0.43579,                0.89912,                 0.9785,                0.97539,                0.98806,                0.96077,                0.28367,                0.35005,                0.84243,             0.00018406,             0.00018406,             0.00018406
                     47,                 0.2629,                0.40803,                0.91655,                0.97029,                0.98216,                0.98848,                0.96283,                 0.2783,                0.33813,                 0.8312,             0.00015576,             0.00015576,             0.00015576
                     48,                0.24579,                0.39701,                0.92437,                0.97031,                0.98546,                0.98851,                0.96771,                0.25368,                0.32675,                0.81059,             0.00012747,             0.00012747,             0.00012747
                     49,                0.26923,                0.42378,                0.94868,                 0.9721,                0.98623,                0.98868,                0.96787,                0.24504,                0.32535,                0.80737,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.23747,                  0.395,                0.91056,                0.97246,                 0.9871,                0.98891,                0.96832,                0.24223,                0.32036,                0.80524,             7.0878e-05,             7.0878e-05,             7.0878e-05
